submissionid,submissiondatetime,deviceid,username,User_s_,Survey_Start_Time,Study_Area,Other_Study_Area,GNSS_Setup,Other_GNSS_Setup,Pre_Survey_Notes,Sampling_Design,Plot_ID,GNSS_Used_,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Tare_Weight__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,Centre,,,Density,2780,no,,170,2021-04-06 12:36,135,0,3610,830,79.41176471,59.901,0.352,,,https://drive.google.com/uc?id=1P7SvX2q_AW_YVQqGA-WJId6JbCGavpTW,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,2021-04-06 12:39,,Cardinal 10 m,S,10,,Density,3380,yes,1a,245,2021-04-06 12:48,204,,4670,1290,83.26530612,93.099,,,,https://drive.google.com/uc?id=1nj5kjgZkxLgVvqdusmZM52lK9DCDZQVm,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,2021-04-06 12:42,,Cardinal 10 m,N,10,,Depth,,,,292,2021-04-06 12:42,,,,,,,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,2021-04-06 12:43,,Cardinal 10 m,N,7.5,,Depth,,,,230,2021-04-06 12:43,,,,,,,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,2021-04-06 12:45,,Cardinal 10 m,N,5,,Depth,,,,200,2021-04-06 12:44,,,,,,,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,N,2.5,,Depth,,,,200,2021-04-06 12:45,,,,,,,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,S,2.5,,Depth,,,,247,2021-04-06 12:46,,,,,,,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,S,5,,Depth,,,,330,2021-04-06 12:50,,,,,,,,,3 extension,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,S,10,,Density,3380,yes,1b,330,2021-04-06 12:51,85,,3910,530,25.75757576,38.25,,,,,,,,,2021-04-06 13:13
56542716,2021-04-12 14:02:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Ab wm bf,2021-04-06 12:35,Englishman,,Other,,"Stonex, no corrections 30 second observation named s4 cc, 300 second observation s4cc1",,S4cc,,,,,,Cardinal 10 m,S,7.5,,Depth,,,,335,2021-04-06 12:52,,,,,,,,,3 extensions,,,,,,2021-04-06 13:13
