,Survey_Start_Time,Study_Area,Plot_ID,plot_type,cardinal_direction,multi_core,depth,core,plug,mass
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,Custom,NA,NA,450,NA,NA,NA
2,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,Custom,NA,NA,450,NA,NA,NA
3,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,Custom,NA,NA,495,NA,NA,NA
4,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,Custom,NA,NA,477,NA,NA,NA
5,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,Custom,NA,NA,475,NA,NA,NA
6,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,Centre,no,336,274,0,1320
7,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,N,NA,300,274,8,1090
8,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,N,NA,295,NA,NA,NA
9,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,N,NA,250,NA,NA,NA
10,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,N,NA,330,NA,NA,NA
11,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,W,no,380,326,1,1520
12,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,W,NA,379,NA,NA,NA
13,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,W,NA,324,NA,NA,NA
14,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,W,NA,335,NA,NA,NA
15,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,E,no,352,341,2,1230
16,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,E,NA,277,NA,NA,NA
17,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,E,NA,259,NA,NA,NA
18,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,E,NA,260,NA,NA,NA
19,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,S,no,405,327,2,1470
20,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,S,NA,430,NA,NA,NA
21,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,S,NA,390,NA,NA,NA
22,3/10/2021 14:43,Cruickshank,CRU_E3S,Cardinal 10 m,S,NA,370,NA,NA,NA
23,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,Centre,yes,289,239,NA,1110
24,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,N,NA,440,NA,NA,NA
25,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,N,NA,452,NA,NA,NA
26,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,NA,NA,472.5,NA,NA,NA
27,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,N,no,474,NA,NA,NA
28,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,S,NA,421,NA,NA,NA
29,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,S,NA,431,NA,NA,NA
30,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,S,NA,431,NA,NA,NA
31,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,S,no,448,NA,NA,NA
32,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,W,NA,450,NA,NA,NA
33,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,W,NA,476,NA,NA,NA
34,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,W,NA,455,NA,NA,NA
35,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,W,no,380,NA,NA,NA
36,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,E,NA,410,NA,NA,NA
37,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,E,NA,394,NA,NA,NA
38,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,E,NA,369,NA,NA,NA
39,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,E,no,317,NA,NA,NA
40,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,Centre,yes,344,84,NA,490
41,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,Centre,yes,398,73,NA,490
42,3/10/2021 10:21,Cruickshank,CRU_N3O,Cardinal 10 m,Centre,yes,433,52,13,180
43,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,Centre,yes,278,263,NA,1130
44,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,N,no,442,NA,NA,NA
45,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,N,NA,406,NA,NA,NA
46,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,N,NA,383,NA,NA,NA
47,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,N,NA,422,NA,NA,NA
48,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,Centre,yes,340,78,NA,500
49,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,S,NA,370,NA,NA,NA
50,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,S,NA,399,NA,NA,NA
51,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,S,NA,342,NA,NA,NA
52,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,Centre,yes,375,52.5,NA,510
53,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,S,NA,362,NA,NA,NA
54,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,Centre,yes,420,67,NA,530
55,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,E,NA,448,NA,NA,NA
56,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,E,NA,437,NA,NA,NA
57,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,E,NA,437,NA,NA,NA
58,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,E,NA,442,NA,NA,NA
59,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,W,NA,439,NA,NA,NA
60,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,W,NA,369,NA,NA,NA
61,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,W,NA,318,NA,NA,NA
62,3/10/2021 12:28,Cruickshank,CRU_N4S,Cardinal 10 m,W,NA,375,NA,NA,NA
63,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,N,no,234,155,5,430
64,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,N,NA,223,NA,NA,NA
65,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,N,NA,180,NA,NA,NA
66,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,N,NA,260,NA,NA,NA
67,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,Centre,no,230,225,2,820
68,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,S,no,225,191,6,560
69,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,S,NA,290,NA,NA,NA
70,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,S,NA,259,NA,NA,NA
71,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,S,NA,235,NA,NA,NA
72,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,E,no,261,236,8,690
73,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,E,NA,145,NA,NA,NA
74,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,E,NA,250,NA,NA,NA
75,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,E,NA,271,NA,NA,NA
76,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,W,no,225,175,0,560
77,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,W,NA,238,NA,NA,NA
78,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,W,NA,215,NA,NA,NA
79,3/11/2021 15:15,Cruickshank,CRU_E7S,Cardinal 10 m,W,NA,234,NA,NA,NA
80,3/9/2021 16:24,Cruickshank,CRU_CAM1,Camera Snow Stakes,NA,NA,280,NA,NA,NA
81,3/9/2021 16:24,Cruickshank,CRU_CAM1,Camera Snow Stakes,NA,NA,279,NA,NA,NA
82,3/9/2021 16:24,Cruickshank,CRU_CAM1,Camera Snow Stakes,NA,NA,285,NA,NA,NA
83,3/9/2021 16:24,Cruickshank,CRU_CAM1,Camera Snow Stakes,NA,NA,115,NA,NA,NA
84,3/9/2021 16:24,Cruickshank,CRU_CAM1,Camera Snow Stakes,NA,NA,330,NA,NA,NA
85,3/11/2021 11:53,Cruickshank,CRU_CAM2,Camera Snow Stakes,NA,NA,355,NA,NA,NA
86,3/11/2021 11:53,Cruickshank,CRU_CAM2,Camera Snow Stakes,NA,NA,340,NA,NA,NA
87,3/11/2021 11:53,Cruickshank,CRU_CAM2,Camera Snow Stakes,NA,NA,360,NA,NA,NA
88,3/11/2021 11:53,Cruickshank,CRU_CAM2,Camera Snow Stakes,NA,NA,325,NA,NA,NA
89,3/11/2021 11:53,Cruickshank,CRU_CAM2,Camera Snow Stakes,NA,NA,370,NA,NA,NA
90,3/11/2021 16:00,Cruickshank,CRU_CAM3,Camera Snow Stakes,NA,NA,289,NA,NA,NA
91,3/11/2021 16:00,Cruickshank,CRU_CAM3,Camera Snow Stakes,NA,NA,271,NA,NA,NA
92,3/11/2021 16:00,Cruickshank,CRU_CAM3,Camera Snow Stakes,NA,NA,269,NA,NA,NA
93,3/11/2021 16:00,Cruickshank,CRU_CAM3,Camera Snow Stakes,NA,NA,284,NA,NA,NA
94,3/11/2021 16:00,Cruickshank,CRU_CAM3,Camera Snow Stakes,NA,NA,293,NA,NA,NA
