Plot_ID,plot_datetime,plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count_depth,count_density,northing,easting,elev,aspect,cover,station_type
CRU_snowpillow,3/9/2021 9:59,snowscale,402,NA,NA,NA,NA,112.5848175,0.280061735,1,1,5504501.587,329590.9172,1364.26,east,sparse,wx
CRU_snowsurvey,3/9/2021 9:59,snowsurvey,430.5,436.5,446,403,19.3993127,104.5920172,0.245781442,4,4,5504523.389,329586.1172,1362.95,east,sparse,wx
CRU_CAM1,3/9/2021 16:24,Camera Snow Stakes,257.8,280,330,115,82.59358329,NaN,NaN,5,0,NA,NA,NA,NA,NA,NA
CRU_CAM2,3/11/2021 11:53,Camera Snow Stakes,350,355,370,325,17.67766953,NaN,NaN,5,0,5503664.768,330644.6668,1015.9428,east,new growth,camera
CRU_CAM3,3/11/2021 16:00,Camera Snow Stakes,281.2,284,293,269,10.73312629,NaN,NaN,5,0,5503356.369,330747.1236,981.6546,east,sparse,camera
CRU_E3S,3/10/2021 14:43,Cardinal 10 m,333.6470588,335,430,250,54.40351686,95.69709488,0.271848031,17,5,5504539.82,329433.7262,1400.249,east,sparse,cardinal_10
CRU_E7S,3/11/2021 15:15,Cardinal 10 m,233.8235294,234,290,145,33.82350384,44.16788994,0.191213184,17,5,5503354.312,330731.366,981.641,east,sparse,cardinal_10
CRU_N3O,3/10/2021 10:21,Cardinal 10 m,426.6764706,433,476,317,42.11700264,163.8253434,0.390060341,17,1,5504640.405,328984.9362,1414.329,north,open,cardinal_10
CRU_N4S,3/10/2021 12:28,Cardinal 10 m,400.6470588,406,448,318,39.77427117,192.6932453,0.458793441,17,1,5505112.319,328490.0972,1264.499,north,sparse,cardinal_10
CRU_WX_CAM,3/9/2021 11:38,Custom,429.4,435,455,410,19.34683437,NaN,NaN,5,0,5504521.117,329599.0508,1362.8806,east,sparse,camera
CRU_WX_SR50,3/9/2021 9:59,SR50,430,NA,NA,NA,NA,NA,NA,1,0,5504506.263,329593.2492,1364.559,east,sparse,wx
