ID,alias,Plot_ID,northing,easting,elev,date,solution,aspect,cover,station_type
Refpointwxb,Refpointwxb,na,5504506.96,329592.287,1366.28,20210309,single,,,wx
CRU_wxCAM_stake1,CRU_wx_stake1,CRU_WX_CAM,5504515.995,329592.7662,1363.873,20210309,fix,east,sparse,camera
CRU_wxCAM_stake2,CRU_wx_stake2,CRU_WX_CAM,5504524.725,329594.3092,1363.117,20210309,fix,east,sparse,camera
CRU_wxCAM_stake3,CRU_wx_stake3,CRU_WX_CAM,5504527.172,329600.8852,1362.22,20210309,fix,east,sparse,camera
CRU_wxCAM_stake4,CRU_wx_stake4,CRU_WX_CAM,5504516.82,329601.0362,1362.979,20210309,fix,east,sparse,camera
CRU_wxCAM_stake5,CRU_wx_stake5,CRU_WX_CAM,5504520.878,329606.2522,1362.194,20210309,fix,east,sparse,camera
CRU_wx_SR50,CRU_wx_SR50,CRU_WX_SR50,5504506.264,329593.2482,1364.555,20210309,fix,east,sparse,wx
CRU_snowsurvey_start,CRU_snowsurvey_start,CRU_snowsurvey,5504510.234,329583.5642,1363.662,20210309,fix,east,sparse,wx
CRU_snowsurvey_end,CRU_snowsurvey_end,CRU_snowsurvey,5504536.546,329588.6682,1362.23,20210309,fix,east,sparse,wx
CRU_snowpillow,CRU_snowpillow,CRU_snowpillow,5504501.588,329590.9162,1364.256,20210309,fix,east,sparse,wx
CRU_tempplot,CRU_tempplot,CRU_tempplot,5504501.896,329597.3002,1363.926,20210309,fix,east,sparse,pit
CRU_E3S,Cru_e3s,CRU_E3S,5504539.821,329433.7252,1400.245,20210310,fix,east,sparse,cardinal_10
CRU_N3O,Cru_n3O,CRU_N3O,5504640.406,328984.9352,1414.325,20210310,fix,north,open,cardinal_10
CRU_N4S,CRU_N4S,CRU_N4S,5505112.32,328490.0962,1264.495,20210310,eyeballed,north,sparse,cardinal_10
CRU_baseref_20210311,CRU_baseref_20210311,na,5504506.96,329592.287,1366.28,20210311,single,,,wx
CRU_CAM2_NG_1,CRU_c2_ng_1,CRU_CAM2,5503668.3,330642.716,1016.975,20210311,fix,east,new growth,camera
CRU_CAM2_NG_2,CRU_c2_ng_3,CRU_CAM2,5503665.476,330643.834,1016.235,20210311,fix,east,new growth,camera
CRU_CAM2_NG_3,CRU_c2_ng_2,CRU_CAM2,5503664.548,330646.837,1015.443,20210311,fix,east,new growth,camera
CRU_CAM2_NG_4,CRU_c2_ng_4,CRU_CAM2,5503661.459,330647.068,1014.813,20210311,fix,east,new growth,camera
CRU_CAM2_NG_5,CRU_c2_ng_5,CRU_CAM2,5503664.061,330642.874,1016.228,20210311,fix,east,new growth,camera
CRU_E7S,CRU_20210311_E7S,CRU_E7S,5503354.313,330731.365,981.637,20210311,float,east,sparse,cardinal_10
CRU_CAM3_OG_1,CRU_20210311_C3_stk_1,CRU_CAM3,5503356.608,330745.871,982.455,20210311,float,east,sparse,camera
CRU_CAM3_OG_2,CRU_20210311_C3_stk_2,CRU_CAM3,5503357.866,330747.499,981.581,20210311,fix,east,sparse,camera
CRU_CAM3_OG_3,CRU_20210311_C3_stk_3,CRU_CAM3,5503356.69,330747.2,981.646,20210311,fix,east,sparse,camera
CRU_CAM3_OG_4,CRU_20210311_C3_stk_4,CRU_CAM3,5503356.333,330747.9,981.644,20210311,fix,east,sparse,camera
CRU_CAM3_OG_5,CRU_20210311_C3_stk_5,CRU_CAM3,5503354.355,330747.143,980.927,20210311,float,east,sparse,camera
