submissionid,submissiondatetime,deviceid,username,User_s_,Survey_Start_Time,Study_Area,Other_Study_Area,GNSS_Setup,Other_GNSS_Setup,Pre_Survey_Notes,Sampling_Design,Plot_ID,GNSS_Used_,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Tare_Weight__g_,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:35,,Cardinal 10 m,Centre,,,Depth,,,,157,4/7/2021 10:35,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:35,,Cardinal 10 m,S,10,,Depth,,,,210,4/7/2021 10:46,,,,,,,,Good,Got stuck in snow up to my shoulders,https://drive.google.com/uc?id=11CzYg68DveXNnBCHbyBFkakIg-W0FH7F,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 11:30,,Cardinal 10 m,S,7.5,,Depth,,,,180,4/7/2021 10:49,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:49,,Cardinal 10 m,S,5,,Depth,,,,179,4/7/2021 10:51,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:51,,Cardinal 10 m,S,2.5,,Depth,,,,164,4/7/2021 10:52,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:58,,Cardinal 10 m,E,10,,Depth,,,,180,4/7/2021 10:58,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 10:58,,Cardinal 10 m,E,7.5,,Depth,,,,149,4/7/2021 11:00,,,,,,,,Good,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 11:00,,Cardinal 10 m,E,5,,Depth,,,,151,4/7/2021 11:03,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 11:04,,Cardinal 10 m,E,2.5,,Depth,,,,169,4/7/2021 11:04,,,,,,,,Excellent,,,,,,,4/7/2021 11:42
56394374,2021-04-07 19:43:18 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,Tk gf,4/7/2021 10:24,Russell Creek,,,,Cardinal below steph6. 600. Densities did not have the 8cm fresh snow. Probe depths need 8cm removed to match Lidar. Confident on this removal as 8cm fell on hard crust that was easy to differentiate,,600,no,,,4/7/2021 11:08,,Cardinal 10 m,Centre,,,Density,3840,no,,154,4/7/2021 11:08,94,0.1,4360,520,61.03896104,37.528,0.244,Excellent,,,,,,,4/7/2021 11:42
