"plot_datetime","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","mean_depth","med_depth","max_depth","min_depth","sd_depth","SWE","density","count"
2021-04-07 11:35:00,"Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera + Snow Stakes",279,273,319,252,24.7487373415292,NA,NA,5
2021-04-07 13:18:00,"Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera + Snow Stakes",299,301,317,287,12.2678441463853,NA,NA,5
2021-04-07 14:46:00,"Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera + Snow Stakes",245.8,245,255,241,5.40370243444252,NA,NA,5
2021-04-06 15:31:00,"Cruickshank","CRU_E3S",329432.389,5504540.275,1400.022,-125.36393053,49.6692478,"Cardinal 10 m",318.227272727273,315,384,259,34.6436716109015,122.848849497682,0.554289913512387,22
2021-04-07 11:59:00,"Cruickshank","CRU_E5F",330158.012,5504198.043,1114.765,-125.35373446,49.66637696,"Cardinal 10 m",314.727272727273,315,384,194,42.5778634841447,64.3296340275022,0.211066061600606,22
2021-04-07 10:35:00,"Cruickshank","CRU_E5O",329949.966,5504345.462,1180.016,-125.35667911,49.66764319,"Cardinal 10 m",348.666666666667,365,416,265,40.2359706398806,119.384252097042,0.352459154449895,21
2021-04-07 13:32:00,"Cruickshank","CRU_E6N_C2STK4",330645.732,5503661.913,1014.59,-125.34674955,49.66169588,"Cardinal 10 m",275.894736842105,282,327,190,32.117656509296,108.557385220043,0.398589037631551,19
2021-04-07 14:41:00,"Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m",222.058823529412,220,275,155,36.5367462088431,57.1658571105546,0.263517002101108,17
2021-04-06 12:00:00,"Cruickshank","CRU_N1A",328013.67,5504526.078,1582.781,-125.38356873,49.66871731,"Cardinal 10 m",237.571428571429,255,319,131,61.9278381897604,77.0872921642327,0.317547040731997,21
2021-04-06 09:57:00,"Cruickshank","CRU_N3O",328983.599,5504640.86,1414.102,-125.37018874,49.67002466,"Cardinal 10 m",403.529411764706,420,460,305,44.3284863928643,172.50807890685,0.410733521206786,17
2021-04-06 13:12:00,"Cruickshank","CRU_S1A",327847.361,5504164.581,1606.868,-125.38571254,49.66542118,"Cardinal 10 m",274,264,371,154,56.4482063488292,98.163593018124,0.333140576191404,21
2021-04-09 10:52:00,"Cruickshank","CRU_S2F",328740.519,5504647.014,1437.473,-125.37355734,49.67001098,"Cardinal 10 m",325.411764705882,340,371,221,35.2332563488131,75.9324263640194,0.222453707201753,17
2021-04-09 12:14:00,"Cruickshank","CRU_S3F",328738.669,5504269.633,1312.464,-125.37341785,49.66661899,"Cardinal 10 m",357.6,357.5,422,294,33.7473585710988,100.328966393524,0.262162757815379,20
2021-04-09 13:31:00,"Cruickshank","CRU_S4F",328998.829,5504069.787,1210.398,-125.3697284,49.66489681,"Cardinal 10 m",311.823529411765,314,362,250,29.8375503646782,94.1215627173777,0.321891361712908,17
2021-04-09 14:44:00,"Cruickshank","CRU_S5O",329405.455,5503819.632,1121.618,-125.36398946,49.66276383,"Cardinal 10 m",292.3,297.5,338,227,32.3924942573203,102.20562331887,0.331932728134016,20
2021-04-05 06:00:00,"Cruickshank","CRU_snowpillow",329589.58,5504502.042,1364.033,-125.36173729,49.66894864,"wx_snow_survey",377,377,377,377,NA,95.9857738979318,0.254604174795575,1
2021-04-05 05:30:00,"Cruickshank","CRU_snowsurvey",329584.78,5504523.844,1362.723,-125.36181325,49.66914322,"wx_snow_survey",402.375,404,417,377,11.831404940122,103.292961572492,0.260839115532344,8
2021-04-05 16:15:00,"Cruickshank","CRU_WX_CAM",329597.714,5504521.572,1362.654,-125.36163317,49.66912646,"Camera + Snow Stakes",408.4,403,427,395,13.9212068442359,NA,NA,5
2021-04-05 06:00:00,"Cruickshank","CRU_WX_SR50",329591.912,5504506.718,1364.332,-125.36170704,49.66899133,"wx_snow_survey",408,408,408,408,NA,NA,NA,1
