station,utm_z,utm_e,utm_n,height,scale,combined,convergence
CRU_CAM2,UTM10,330643.330,5503665.223,1015.715,0.99995230,0.99979317,1.7892
CRU_CAM3,UTM10,330745.787,5503356.824,981.427,0.99995188,0.99979812,1.788
CRU_E3S,UTM10,329432.389,5504540.275,1400.022,0.99995736,0.99973803,1.8025
CRU_E7S,UTM10,330730.029,5503354.767,981.414,0.99995194,0.99979818,1.7881
CRU_N3O,UTM10,328983.599,5504640.860,1414.102,0.99995924,0.99973771,1.8073
CRU_N4S,UTM10,328488.760,5505112.774,1264.273,0.99996132,0.99976326,1.8128
CRU_snowpillow,UTM10,329589.580,5504502.042,1364.033,0.99995670,0.99974301,1.8008
CRU_snowsurvey,UTM10,329584.780,5504523.844,1362.723,0.99995672,0.99974324,1.8009
CRU_tempplot,UTM10,329595.964,5504502.350,1363.703,0.99995667,0.99974303,1.8008
CRU_WX_CAM,UTM10,329597.714,5504521.572,1362.654,0.99995667,0.99974319,1.8008
CRU_WX_SR50,UTM10,329591.912,5504506.718,1364.332,0.99995669,0.99974295,1.8008
CRU_N1A,UTM10,328013.670,5504526.078,1582.781,0.99996333,0.99971538,1.8175
CRU_S1A,UTM10,327847.361,5504164.581,1606.868,0.99996403,0.99971231,1.819
CRU_E5O,UTM10,329949.966,5504345.462,1180.016,0.99995519,0.99977033,1.7969
CRU_CAM1,UTM10,330133.068,5504196.401,1122.364,0.99995443,0.99977859,1.7949
CRU_E5F,UTM10,330158.012,5504198.043,1114.765,0.99995432,0.99977968,1.7947
CRU_S2F,UTM10,328740.519,5504647.014,1437.473,0.99996026,0.99973507,1.8099
CRU_S3F,UTM10,328738.669,5504269.633,1312.464,0.99996027,0.99975466,1.8097
CRU_S4F,UTM10,328998.829,5504069.787,1210.398,0.99995918,0.99976955,1.8068
CRU_S5O,UTM10,329405.455,5503819.632,1121.618,0.99995747,0.99978175,1.8024
CRU_E6N_C2STK4,UTM10,330645.732,5503661.913,1014.590,0.99995229,0.99979334,1.7892
