STA,utm_n,utm_e,height,utm_z
CRU_CAM2,5503664.769,330644.6658,1015.9388,utm10
CRU_CAM3,5503356.37,330747.1226,981.6506,utm10
CRU_E3S,5504539.821,329433.7252,1400.245,utm10
CRU_E7S,5503354.313,330731.365,981.637,utm10
CRU_N3O,5504640.406,328984.9352,1414.325,utm10
CRU_N4S,5505112.32,328490.0962,1264.495,utm10
CRU_snowpillow,5504501.588,329590.9162,1364.256,utm10
CRU_snowsurvey,5504523.39,329586.1162,1362.946,utm10
CRU_tempplot,5504501.896,329597.3002,1363.926,utm10
CRU_WX_CAM,5504521.118,329599.0498,1362.8766,utm10
CRU_WX_SR50,5504506.264,329593.2482,1364.555,utm10
CRU_N1A,5504525.624,328015.006,1583.003,utm10
CRU_S1A,5504164.127,327848.697,1607.09,utm10
CRU_E5O,5504345.008,329951.302,1180.239,utm10
CRU_CAM1,5504195.947,330134.404,1122.587,utm10
CRU_E5F,5504197.589,330159.348,1114.988,utm10
CRU_S2F,5504646.56,328741.855,1437.696,utm10
CRU_S3F,5504269.179,328740.005,1312.687,utm10
CRU_S4F,5504069.333,329000.165,1210.621,utm10
CRU_S5O,5503819.178,329406.791,1121.841,utm10
CRU_E6N_C2STK4,5503661.459,330647.068,1014.813,utm10
