ACO_Flight_Number,Survey_Start_Time,Study_Area,Plot_ID,easting,northing,elev_ellipsoidal,lon,lat,plot_type,cardinal_direction,multi_core,depth,core,plug,mass,SWE,density
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,329597.7,5504522,1362.654,-125.362,49.66913,Custom,NA,NA,418,NA,0,NA,NA,NA
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,329597.7,5504522,1362.654,-125.362,49.66913,Custom,NA,NA,418,NA,0,NA,NA,NA
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,329597.7,5504522,1362.654,-125.362,49.66913,Custom,NA,NA,463,NA,0,NA,NA,NA
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,329597.7,5504522,1362.654,-125.362,49.66913,Custom,NA,NA,445,NA,0,NA,NA,NA
1,3/9/2021 11:38,Cruickshank,CRU_WX_CAM,329597.7,5504522,1362.654,-125.362,49.66913,Custom,NA,NA,443,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,Centre,no,336,274,0,1320,95.27643,0.283561
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,N,NA,292,274,8,1090,78.67523,0.269436
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,N,NA,295,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,N,NA,250,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,N,NA,330,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,W,no,379,326,1,1520,109.7123,0.289478
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,W,NA,379,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,W,NA,324,NA,0,NA,NA,NA
1,3/10/2021 14:43,Cruickshank,CRU_E3S,329432.4,5504540,1400.022,-125.364,49.66925,Cardinal 10 m,W,NA,335,NA,0,NA,NA,NA
