ACO_Flight_Number,Study_Area,day,date,total_depth,total_swe
1,Cruickshank,9,2021-03-09T11:38:00Z,6009,531.02173
1,Cruickshank,10,2021-03-10T14:43:00Z,20030.5,835.11237
1,Cruickshank,11,2021-03-11T15:15:00Z,7110,220.86808
1,Englishman,9,2021-03-09T16:36:00Z,4067,0
1,Englishman,10,2021-03-10T10:39:00Z,21933,1681.05154
1,Englishman,11,2021-03-11T13:51:00Z,14697,781.69977
1,Metro Vancouver,9,2021-03-09T09:30:00Z,52941,0
1,Metro Vancouver,11,2021-03-11T09:40:00Z,42499,5360.1
1,Tsitika,9,2021-03-09T12:11:00Z,16233,384.71466
1,Tsitika,10,2021-03-10T11:40:00Z,2482,140.749265
1,Tsitika,11,2021-03-11T10:56:00Z,10112,1490.85964
1,Tsitika,12,2021-03-12T13:08:00Z,2855,767.263959
1,Tsitika,18,2021-03-18T12:19:00Z,2897,713.12964
2,Cruickshank,5,2021-04-05T16:15:00Z,5198,846.55123
2,Cruickshank,6,2021-04-06T13:12:00Z,24595.9,1663.00682
2,Cruickshank,7,2021-04-07T14:46:00Z,27333,1940.174321
2,Cruickshank,9,2021-04-09T13:31:00Z,23787,1862.94292
2,Englishman,5,2021-04-05T18:32:00Z,34127,1934.40019
2,Englishman,6,2021-04-06T15:52:00Z,35250,1686.82582
2,Englishman,7,2021-04-07T22:22:00Z,33177,1612.48134
2,Englishman,8,2021-04-08T12:50:00Z,18331,399.150489
2,Metro Vancouver,6,2021-04-06T09:50:00Z,22367,9732.3
2,Tsitika,6,2021-04-06T12:27:00Z,8762,2527.71254
2,Tsitika,7,2021-04-07T12:07:00Z,14797,1165.69266
2,Tsitika,8,2021-04-08T11:40:00Z,9879,565.88422
2,Tsitika,9,2021-04-09T11:51:00Z,269,0
3,Cruickshank,22,2021-04-22T10:53:00Z,39665,3270.43559
3,Cruickshank,23,2021-04-23T08:31:00Z,26516,1940.17459
3,Englishman,22,2021-04-22T09:46:00Z,52370,3481.19839
3,Englishman,23,2021-04-23T12:02:00Z,28709,1552.57266
3,Metro Vancouver,19,2021-04-19T11:10:00Z,17921,0
3,Metro Vancouver,21,2021-04-21T13:55:00Z,685,356.3
3,Metro Vancouver,22,2021-04-22T08:10:00Z,30602,6681
3,Tsitika,26,2021-04-26T14:14:00Z,7521.8,780.9780000000001
3,Tsitika,27,2021-04-27T13:08:00Z,15113.8,1813.13939
3,Tsitika,28,2021-04-28T12:04:00Z,5888,0
