station,lat,lon,height
2101,50.31037912,-126.36363754,1244.479
2102,50.30877118,-126.3627216,1274.848
2104,50.30819514,-126.36258132,1331.262
2106,50.3078898,-126.36188628,1351.823
2107,50.30742144,-126.36046033,1404.741
3,50.31730297,-126.36401183,1010.587
600,50.31681918,-126.36426222,1009.317
Cam r10,50.30931818,-126.36418849,1268.194
Cam r2,50.31072026,-126.36357025,1210.591
R5 camera,50.32316828,-126.35228013,771.268
Steph 1,50.30608283,-126.35659057,-0.189
Steph 2,50.31240236,-126.36429017,-0.189
Steph 3,50.31807247,-126.3631617,-0.189
Steph 4,50.31712664,-126.35514542,-0.189
Steph 6,50.31913504,-126.35028589,-0.189
Steph 7,50.32600558,-126.35764025,-0.189
Steph 8,50.33297615,-126.36516229,-0.189
