STA,utm_n,utm_e,height,utm_z
2101,5576464.909,687710.417,1244.668,utm9
2102,5576288.467,687781.959,1275.037,utm9
2104,5576224.783,687794.216,1331.451,utm9
2106,5576192.593,687844.902,1352.012,utm9
2107,5576144.127,687948.269,1404.93,utm9
3,5577233.682,687656.5,1010.776,utm9
600,5577179.268,687640.583,1009.5058,utm9
Cam r10,5576345.5754,687675.3724,1268.3829999999998,utm9
Cam r2,5576503.0034,687713.8634,1210.7804,utm9
R5 camera,5577915.376,688468.36,771.457,utm9
Steph 1,5576005.095,688229.0645000001,NA,utm9
Steph 2,5576688.1845,687655.9885,NA,utm9
Steph 3,5577321.3705,687713.981,NA,utm9
Steph 4,5577236.479,688288.312,NA,utm9
Steph 6,5577472.058,688626.264,NA,utm9
Steph 7,5578217.231,688075.6680000001,NA,utm9
Steph 8,5578973.1559999995,687512.895,NA,utm9
