"ACO_Flight_Number","plot_datetime","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","cardinal_direction","multi_core","depth","core","plug","mass","SWE","density"
3,2021-04-27 13:08:19,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,305,NA,0,NA,NA,NA
3,2021-04-27 13:09:03,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","Centre","no",237,224,7,1260,90.9456817667914,0.383737053868318
3,2021-04-27 13:11:29,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,319,NA,0,NA,NA,NA
3,2021-04-27 13:11:58,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,268,NA,0,NA,NA,NA
3,2021-04-27 13:12:20,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","N","no",244,214,0,1220,88.0585172662583,0.360895562566632
3,2021-04-27 13:14:01,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,248,NA,0,NA,NA,NA
3,2021-04-27 13:14:44,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,276,NA,0,NA,NA,NA
3,2021-04-27 13:15:22,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,276,NA,0,NA,NA,NA
3,2021-04-27 13:19:18,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,253,NA,0,NA,NA,NA
3,2021-04-27 13:20:05,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,252,NA,0,NA,NA,NA
3,2021-04-27 13:20:24,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,274,NA,0,NA,NA,NA
3,2021-04-27 13:24:46,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","S","no",183,151,1,950,68.5701568876601,0.374700310861531
3,2021-04-27 13:25:45,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,254,NA,0,NA,NA,NA
3,2021-04-27 13:26:06,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,242,NA,0,NA,NA,NA
3,2021-04-27 13:26:34,"Tsitika","10000",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,216,NA,0,NA,NA,NA
3,2021-04-27 14:53:02,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","Centre","no",83,73,0,350,25.2626893796643,0.30436975156222
3,2021-04-27 14:56:30,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","E","no",131,103,1,480,34.6459740063967,0.264473084018295
3,2021-04-27 14:57:22,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","E",NA,181,NA,0,NA,NA,NA
3,2021-04-27 14:57:44,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","E",NA,145,NA,0,NA,NA,NA
3,2021-04-27 14:58:20,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","E",NA,25,NA,0,NA,NA,NA
3,2021-04-27 14:59:33,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Camera + Snow Stakes","W",NA,75,NA,0,NA,NA,NA
3,2021-04-27 15:00:29,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","W",NA,115,NA,0,NA,NA,NA
3,2021-04-27 15:00:58,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","W",NA,107,NA,0,NA,NA,NA
3,2021-04-27 15:01:52,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","W","no",127,97,0,530,38.254929632063,0.301219918362701
3,2021-04-27 15:03:27,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","S",NA,80,NA,0,NA,NA,NA
3,2021-04-27 15:03:51,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","S",NA,95,NA,0,NA,NA,NA
3,2021-04-27 15:04:22,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","S",NA,79,NA,0,NA,NA,NA
3,2021-04-27 15:04:54,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","S","no",114,82,1,440,31.7588095058636,0.27858604829705
3,2021-04-27 15:06:50,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","N",NA,107,NA,0,NA,NA,NA
3,2021-04-27 15:07:32,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m",NA,NA,0,NA,0,NA,NA,NA
3,2021-04-27 15:07:45,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","N",NA,0,NA,0,NA,NA,NA
3,2021-04-27 15:08:02,"Tsitika","600",687639.213,5577179.617,1009.317,-126.36426222,50.31681918,"Cardinal 10 m","N","no",0,0,0,0,0,NA
3,2021-04-28 12:04:42,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","Centre",NA,309,NA,0,NA,NA,NA
3,2021-04-28 12:05:18,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,387,NA,0,NA,NA,NA
3,2021-04-28 12:05:46,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,405,NA,0,NA,NA,NA
3,2021-04-28 12:06:14,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,401,NA,0,NA,NA,NA
3,2021-04-28 12:06:55,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","E",NA,410,NA,0,NA,NA,NA
3,2021-04-28 12:07:33,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,323,NA,0,NA,NA,NA
3,2021-04-28 12:08:02,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,309,NA,0,NA,NA,NA
3,2021-04-28 12:08:29,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,303,NA,0,NA,NA,NA
3,2021-04-28 12:08:56,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","W",NA,288,NA,0,NA,NA,NA
3,2021-04-28 12:10:02,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,317,NA,0,NA,NA,NA
3,2021-04-28 12:10:49,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,315,NA,0,NA,NA,NA
3,2021-04-28 12:11:24,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,351,NA,0,NA,NA,NA
3,2021-04-28 12:11:53,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","N",NA,339,NA,0,NA,NA,NA
3,2021-04-28 12:12:32,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,364,NA,0,NA,NA,NA
3,2021-04-28 12:12:54,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,361,NA,0,NA,NA,NA
3,2021-04-28 12:13:17,"Tsitika","Cain L4",NA,NA,NA,NA,NA,"Cardinal 10 m","S",NA,360,NA,0,NA,NA,NA
