ACO_Flight,plot_datetime,Study_Area,Plot_ID,easting,northing,elev_ellipsoidal,lon,lat,Plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count
1,3/9/2021 9:30,Seymour - Orchid,STATION,496834.836,5491737.921,1073.501,-123.04378299,49.5782201,SD_Sensor,469,NA,NA,NA,NA,NA,NA,1
1,3/9/2021 11:30,Seymour - Orchid,PLOT1C_S1S,495495.151,5487616.026,1282.897,-123.06226737,49.54113625,Cardinal_10m,542,540,632,493,33.4,NA,NA,17
1,3/9/2021 12:40,Seymour - Orchid,Ridge3,495453.733,5487638.188,1290.164,-123.06284012,49.54133528,5_Point,551,553,560,540,7.4,NA,NA,4
1,3/9/2021 12:47,Seymour - Orchid,Ridge4,495469.448,5487638.851,1288.585,-123.06262291,49.54134136,5_Point,529,525,545,520,10.2,NA,NA,4
1,3/9/2021 12:52,Seymour - Orchid,Ridge5,495524.161,5487581.608,1269.31,-123.061866,49.54082688,5_Point,518,519,522,510,4.6,NA,NA,4
1,3/9/2021 12:59,Seymour - Orchid,Ridge6,495574.803,5487588.884,1261.605,-123.06116609,49.5408927,5_Point,405,401,425,391,13.2,NA,NA,4
1,3/9/2021 13:06,Seymour - Orchid,Ridge7,495642.989,5487547.335,1255.913,-123.06022315,49.54051947,5_Point,531,532,554,505,19.3,NA,NA,4
1,3/9/2021 13:13,Seymour - Orchid,Ridge8,495739.401,5487554.075,1229.005,-123.05889061,49.54058078,5_Point,452,460,496,391,38.3,NA,NA,4
1,3/9/2021 13:20,Seymour - Orchid,Ridge9,495812.665,5487554.401,1208.997,-123.05787795,49.54058423,5_Point,538,538,567,510,20.2,NA,NA,4
1,3/9/2021 13:27,Seymour - Orchid,Ridge10,495871.308,5487534.21,1215.482,-123.05706716,49.54040302,5_Point,540,541,572,506,25.8,NA,NA,4
1,3/9/2021 13:39,Seymour - Orchid,Ridge11,495893.623,5487478.28,1224.34,-123.05675814,49.53990009,5_Point,526,528,540,508,11.9,NA,NA,4
1,3/9/2021 13:46,Seymour - Orchid,Ridge12,495962.072,5487461.8,1232.54,-123.05581187,49.53975232,5_Point,511,510,519,503,5.7,NA,NA,4
1,3/9/2021 13:52,Seymour - Orchid,Ridge13,496005.936,5487414.396,1229.645,-123.05520511,49.53932623,5_Point,454,453,470,438,12.4,NA,NA,4
1,3/9/2021 14:08,Seymour - Orchid,Ridge14,496056.401,5487408.965,1218.591,-123.05450754,49.5392777,5_Point,477,476,485,472,5.2,NA,NA,4
1,3/9/2021 14:13,Seymour - Orchid,Ridge15,496071.964,5487342.738,1207.754,-123.05429177,49.53868211,5_Point,503,503,509,496,5.8,NA,NA,4
1,3/9/2021 14:18,Seymour - Orchid,Ridge16,496058.412,5487294.473,1199.943,-123.0544786,49.53824789,5_Point,457,459,470,440,10.8,NA,NA,4
1,3/9/2021 14:25,Seymour - Orchid,Ridge17,496107.762,5487282.444,1190.809,-123.05379639,49.53814001,5_Point,463,465,469,455,5.1,NA,NA,4
1,3/9/2021 14:30,Seymour - Orchid,Ridge18,496171.429,5487237.996,1178.555,-123.05291599,49.53774062,5_Point,425,421,444,413,11.6,NA,NA,4
1,3/9/2021 14:38,Seymour - Orchid,Ridge19,496227.959,5487217.642,1168.387,-123.05213447,49.53755789,5_Point,476,478,481,469,4.8,NA,NA,4
1,3/9/2021 14:45,Seymour - Orchid,Ridge20,496224.032,5487143.748,1162.133,-123.05218804,49.53689321,5_Point,472,470,484,464,8.4,NA,NA,4
1,3/9/2021 15:15,Seymour - Orchid,PLOT2C_E2O,496289.532,5487102.241,1149.078,-123.05128237,49.53652027,Cardinal_10m,468,475,500,427,24.5,NA,NA,17
1,3/11/2021 9:00,Seymour - Loch Lomond,STATION,496834.836,5491737.921,1073.501,-123.04378299,49.5782201,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3/11/2021 9:40,Seymour - Loch Lomond,Ridge-2,495934.157,5494274.1,1441.737,-123.0562681,49.60102686,5_Point,540,538,551,533,7.2,NA,NA,4
1,3/11/2021 9:50,Seymour - Loch Lomond,Ridge-4,495948.811,5494337.516,1424.843,-123.05606595,49.60159736,5_Point,495,493,575,397,64.7,NA,NA,5
1,3/11/2021 10:00,Seymour - Loch Lomond,Ridge-5,495960.333,5494379.561,1410.695,-123.05590693,49.60197562,5_Point,524,521,565,516,27.3,NA,NA,4
1,3/11/2021 10:12,Seymour - Loch Lomond,Ridge-6_E,495919.98,5494422.76,1395.077,-123.05646584,49.60236391,Point,580,NA,NA,NA,NA,NA,NA,1
1,3/11/2021 10:22,Seymour - Loch Lomond,Ridge-7_S,495932.129,5494425.13,1391.265,-123.05629773,49.60238531,Point,525,NA,NA,NA,NA,NA,NA,1
1,3/11/2021 10:27,Seymour - Loch Lomond,Ridge-8_N,495915.072,5494436.488,1390.216,-123.05653391,49.60248736,Point,530,NA,NA,NA,NA,NA,NA,1
1,3/11/2021 10:35,Seymour - Loch Lomond,Ridge-9,495964.753,5494478.09,1362.029,-123.05584677,49.60286189,5_Point,529,528,554,506,18.7,NA,NA,4
1,3/11/2021 10:42,Seymour - Loch Lomond,Ridge-10,495999.297,5494494.038,1351.39,-123.05536885,49.60300557,5_Point,522,522,541,502,14,NA,NA,4
1,3/11/2021 11:00,Seymour - Loch Lomond,PLOT1C_E1S,496122.276,5494398.234,1314.367,-123.0536659,49.60214464,Cardinal_10m,443,450,492,375,32.2,1644,0.371,17
1,3/11/2021 12:20,Seymour - Loch Lomond,Ridge-12,496123.072,5494397.383,1296.436,-123.05365488,49.60213699,5_Point,494,495,496,491,2,NA,NA,4
1,3/11/2021 12:25,Seymour - Loch Lomond,Ridge-13,496123.053,5494397.41,1260.489,-123.05365514,49.60213723,5_Point,467,467,482,453,10.3,NA,NA,4
1,3/11/2021 12:32,Seymour - Loch Lomond,Ridge-14,496357.315,5494448.899,1198.951,-123.05041355,49.60260182,5_Point,428,435,440,403,14.9,NA,NA,4
1,3/11/2021 12:37,Seymour - Loch Lomond,Ridge-15,496433.129,5494357.094,1168.23,-123.04936347,49.60177652,5_Point,430,427,449,416,12.1,NA,NA,4
1,3/11/2021 12:46,Seymour - Loch Lomond,Ridge-16,496473.594,5494266.826,1149.853,-123.04880265,49.60096482,5_Point,408,431,508,262,93.3,NA,NA,5
1,3/11/2021 12:56,Seymour - Loch Lomond,Ridge-17,496554.871,5494166.496,1112.443,-123.04767696,49.60006285,5_Point,348,357,362,315,18.9,NA,NA,4
1,3/11/2021 13:02,Seymour - Loch Lomond,Ridge-18,496614.43,5494128.007,1078.982,-123.0468524,49.599717,5_Point,351,349,360,347,5.2,NA,NA,4
1,3/11/2021 13:45,Seymour - Loch Lomond,PLOT2C_S2F,496628.841,5494009.928,1039.112,-123.04665195,49.598655,Cardinal_10m,368,366,415,345,17,1509,0.41,17
1,3/11/2021 14:20,Seymour - Loch Lomond,Lake-20,496638.23,5494017.707,1039.04,-123.04652209,49.59872502,5_Point,375,375,380,371,3.2,NA,NA,4
1,3/11/2021 14:30,Seymour - Loch Lomond,Lake-21,496933.886,5493270.207,1039.504,-123.0424248,49.59200306,5_Point,358,357,367,352,5.8,NA,NA,4
1,3/11/2021 14:36,Seymour - Loch Lomond,Lake-22,496971.755,5493267.539,1042.799,-123.0419008,49.59197926,5_Point,233,231,248,220,10,NA,NA,4
1,3/11/2021 14:39,Seymour - Loch Lomond,Lake-23,496986.063,5493282.159,1044.748,-123.04170294,49.59211083,5_Point,346,353,363,317,17.5,NA,NA,4
1,3/11/2021 14:45,Seymour - Loch Lomond,Sensor-24,497004.776,5493308.454,1046.116,-123.04144421,49.59234744,5_Point,300,300,302,298,1.6,NA,NA,3
2,4/6/2021 9:50,Seymour - Loch Lomond,Bridge-1,496414.871,5491036.653,529.09,-123.04958588,49.57191005,Points,126,123,147,105,14.7,NA,NA,12
2,4/6/2021 11:05,Seymour - Loch Lomond,PLOT3C_S3F,496863.181,5492429.643,841.476,-123.04339642,49.58444208,Cardinal_10m,193,207,311,28,80.7,822,0.426,17
2,4/6/2021 12:50,Seymour - Loch Lomond,PLOT4C_E4F,496835.601,5493219.343,1060.668,-123.04378433,49.59154505,Cardinal_10m,349,379,428,109,80.7,1532,0.439,17
2,4/6/2021 13:50,Seymour - Loch Lomond,PLOT2C_S2F,496628.841,5494009.928,1039.112,-123.04665195,49.598655,Cardinal_10m,368,375,389,268,27.6,1601,0.435,17
2,4/6/2021 15:00,Seymour - Loch Lomond,PLOT5C_N5F,496684.729,5493482.272,1094.148,-123.04587409,49.59390921,Cardinal_10m,418,420,471,376,20.2,1860,0.445,17
3,4/19/2021 11:10,Seymour - Loch Lomond,STATION,496834.836,5491737.921,1073.501,-123.04378299,49.5782201,Point,283,NA,NA,NA,NA,NA,NA,1
3,4/19/2021 11:20,Seymour - Loch Lomond,GCP1,496997.882,5493313.309,1044.203,-123.04153964,49.59239107,Point,335,NA,NA,NA,NA,NA,NA,1
3,4/19/2021 11:27,Seymour - Loch Lomond,GCP2,496922.109,5493248.349,1047.181,-123.04258758,49.5918064,Point,342,NA,NA,NA,NA,NA,NA,1
3,4/19/2021 11:35,Seymour - Loch Lomond,TRANS1,496922.56,5493231.649,1048.97,-123.04258121,49.59165619,Point,354,NA,NA,NA,NA,NA,NA,1
3,4/19/2021 11:37,Seymour - Loch Lomond,TRANS1,496922.56,5493231.649,1048.97,-123.04258121,49.59165619,Point,379,NA,NA,NA,NA,NA,NA,1
3,4/19/2021 11:40,Seymour - Loch Lomond,TRANS1,496922.56,5493231.649,1048.97,-123.04258121,49.59165619,Point,364,NA,NA,NA,NA,NA,NA,1
