ACO_Flight,plot_datetime,Study_Area,Plot_ID,Northing,Easting,Elev - Ellipsoid,Elevation - Geodetic,Latitude,Longitude,Plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count,Centre,N10,N7.5,N5,N2.5,S10,S7.5,S5,S2.5,E10,E7.5,E5,E2.5,W10,W7.5,W5,W2.5,Comment
1,3/9/2021 9:30,Seymour - Orchid,STATION,5487029.59,496329.064,1151.646,1168.576,,,SD_Sensor,469,NA,NA,NA,NA,NA,NA,1,469,,,,,,,,,,,,,,,,,
1,3/9/2021 11:30,Seymour - Orchid,PLOT1C_S1S,5487615.573,495496.48,1283.172,1300.102,,,Cardinal_10m,542,540,632,493,33.4,NA,NA,17,510,578,535,555,568,535,543,548,559,632,497,540,533,520,502,493,569,Very hard SWE/density sampling
1,3/9/2021 12:40,Seymour - Orchid,Ridge3,5487637.735,495455.062,1290.439,1307.369,,,5_Point,551,553,560,540,7.4,NA,NA,4,,540,,,,555,,,,550,,,,560,,,,
1,3/9/2021 12:47,Seymour - Orchid,Ridge4,5487638.398,495470.777,1288.86,1305.79,,,5_Point,529,525,545,520,10.2,NA,NA,4,,545,,,,520,,,,520,,,,530,,,,
1,3/9/2021 12:52,Seymour - Orchid,Ridge5,5487581.155,495525.49,1269.585,1286.515,,,5_Point,518,519,522,510,4.6,NA,NA,4,,522,,,,518,,,,510,,,,520,,,,
1,3/9/2021 12:59,Seymour - Orchid,Ridge6,5487588.431,495576.132,1261.88,1278.81,,,5_Point,405,401,425,391,13.2,NA,NA,4,,425,,,,395,,,,391,,,,407,,,,
1,3/9/2021 13:06,Seymour - Orchid,Ridge7,5487546.882,495644.318,1256.188,1273.118,,,5_Point,531,532,554,505,19.3,NA,NA,4,,544,,,,505,,,,520,,,,554,,,,
1,3/9/2021 13:13,Seymour - Orchid,Ridge8,5487553.622,495740.73,1229.28,1246.21,,,5_Point,452,460,496,391,38.3,NA,NA,4,,453,,,,391,,,,466,,,,496,,,,
1,3/9/2021 13:20,Seymour - Orchid,Ridge9,5487553.948,495813.994,1209.272,1226.202,,,5_Point,538,538,567,510,20.2,NA,NA,4,,535,,,,540,,,,567,,,,510,,,,
1,3/9/2021 13:27,Seymour - Orchid,Ridge10,5487533.757,495872.637,1215.757,1232.687,,,5_Point,540,541,572,506,25.8,NA,NA,4,,506,,,,572,,,,525,,,,556,,,,
1,3/9/2021 13:39,Seymour - Orchid,Ridge11,5487477.827,495894.952,1224.615,1241.545,,,5_Point,526,528,540,508,11.9,NA,NA,4,,540,,,,508,,,,523,,,,532,,,,
