STA,utm_n,utm_e,height,utm_z
10-RIDGE,5494494.035,495999.257,1359.869,utm10
12-RIDGE,5494397.38,496123.032,1291.887,utm10
13-RIDGE,5494397.407,496123.013,1255.94,utm10
14-RIDGE,5494448.896,496357.275,1204.962,utm10
15-RIDGE,5494357.091,496433.089,1174.284,utm10
16-RIDGE,5494266.823,496473.554,1165.403,utm10
17-RIDGE,5494166.493,496554.831,1121.533,utm10
18-RIDGE,5494128.004,496614.39,1101.966,utm10
2-RIDGE,5494274.097,495934.117,1446.603,utm10
20-LAKE,5494017.704,496638.19,1040.932,utm10
21-LAKE,5493270.204,496933.846,1043.124,utm10
22-LAKE,5493267.536,496971.715,1046.95,utm10
23-LAKE,5493282.156,496986.023,1049.784,utm10
24-SENSOR,5493308.451,497004.736,1051.014,utm10
3-RIDGE,5494274.101,495934.12,1439.504,utm10
4-RIDGE,5494337.513,495953.771,1429.691,utm10
5-RIDGE,5494379.558,495960.293,1415.574,utm10
6-RIDGE,5494422.757,495919.94,1400.105,utm10
7-RIDGE,5494425.127,495932.089,1396.226,utm10
8-RIDGE,5494436.485,495915.032,1395.391,utm10
9-RIDGE,5494478.087,495964.713,1368.188,utm10
plot1,5494397.379,496121.2652941177,1319.547,utm10
plot2,5494010.375,496627.27429411764,1043.975,utm10
