station,lat,lon,height
Bridge-1,49.57191005,-123.04958588,529.090
GCP1,49.59239107,-123.04153964,1044.203
GCP10,49.59008361,-123.04092724,1051.256
GCP11,49.59048462,-123.04146651,1047.187
GCP12,49.59101456,-123.04176436,1053.125
GCP2,49.5918064,-123.04258758,1047.181
GCP3,49.59184461,-123.0434281,1053.741
GCP4,49.59088623,-123.04272322,1054.490
GCP5,49.59023481,-123.04264925,1064.073
GCP6,49.59051793,-123.0420563,1063.441
GCP7,49.5897263,-123.04202562,1068.838
GCP8,49.5894497,-123.04144823,1070.294
GCP9,49.58953121,-123.04082456,1063.152
Hollyburn1,49.39598404,-123.19165834,984.046
Hollyburn2,49.39579404,-123.18528833,1152.046
Lake-20,49.59872502,-123.04652209,1039.040
Lake-21,49.59200306,-123.0424248,1039.504
Lake-22,49.59197926,-123.0419008,1042.799
Lake-23,49.59211083,-123.04170294,1044.748
PLOT1C_E1S,49.60214464,-123.0536659,1314.367
PLOT1C_S1S,49.54113625,-123.06226737,1282.897
PLOT2C_E2O,49.53652027,-123.05128237,1149.078
PLOT2C_S2F,49.598655,-123.04665195,1039.112
PLOT3C_S3F,49.58444208,-123.04339642,841.476
PLOT4C_E4F,49.59154505,-123.04378433,1060.668
PLOT5C_N5F,49.59390921,-123.04587409,1094.148
PLOT6C_S6O,49.60808268,-123.05588511,1593.730
PLOT7C_E7S,49.6024037,-123.05649135,1394.052
Ridge-10,49.60300557,-123.05536885,1351.390
Ridge-12,49.60213699,-123.05365488,1296.436
Ridge-13,49.60213723,-123.05365514,1260.489
Ridge-14,49.60260182,-123.05041355,1198.951
Ridge-15,49.60177652,-123.04936347,1168.230
Ridge-16,49.60096482,-123.04880265,1149.853
Ridge-17,49.60006285,-123.04767696,1112.443
Ridge-18,49.599717,-123.0468524,1078.982
Ridge-2,49.60102686,-123.0562681,1441.737
Ridge-4,49.60159736,-123.05606595,1424.843
Ridge-5,49.60197562,-123.05590693,1410.695
Ridge-6_E,49.60236391,-123.05646584,1395.077
Ridge-7_S,49.60238531,-123.05629773,1391.265
Ridge-8_N,49.60248736,-123.05653391,1390.216
Ridge-9,49.60286189,-123.05584677,1362.029
Ridge10,49.54040302,-123.05706716,1215.482
Ridge11,49.53990009,-123.05675814,1224.340
Ridge12,49.53975232,-123.05581187,1232.540
Ridge13,49.53932623,-123.05520511,1229.645
Ridge14,49.5392777,-123.05450754,1218.591
Ridge15,49.53868211,-123.05429177,1207.754
Ridge16,49.53824789,-123.0544786,1199.943
Ridge17,49.53814001,-123.05379639,1190.809
Ridge18,49.53774062,-123.05291599,1178.555
Ridge19,49.53755789,-123.05213447,1168.387
Ridge20,49.53689321,-123.05218804,1162.133
Ridge3,49.54133528,-123.06284012,1290.164
Ridge4,49.54134136,-123.06262291,1288.585
Ridge5,49.54082688,-123.061866,1269.310
Ridge6,49.5408927,-123.06116609,1261.605
Ridge7,49.54051947,-123.06022315,1255.913
Ridge8,49.54058078,-123.05889061,1229.005
Ridge9,49.54058423,-123.05787795,1208.997
Sensor-24,49.59234744,-123.04144421,1046.116
STATION,49.5782201,-123.04378299,1073.501
TRANS1,49.59165619,-123.04258121,1048.970
TRANS2,49.59184606,-123.04359217,1052.452
TRANS3,49.59037228,-123.04269352,1062.718
TRANS4,49.59025011,-123.04198351,1063.436
TRANS5,49.589577,-123.04135639,1070.600
TRANS6,49.58984395,-123.04090005,1057.978
TRANS7,49.59125026,-123.0422223,1044.023
