STA,utm_n,utm_e,height,utm_z
Bridge-1,5491036.2,496416.2,529.365,utm10
GCP1,5493312.856,496999.211,1044.477,utm10
GCP10,5493056.296,497043.33,1051.53,utm10
GCP11,5493100.9,497004.379,1047.461,utm10
GCP12,5493159.829,496982.885,1053.399,utm10
GCP2,5493247.896,496923.438,1047.455,utm10
GCP3,5493252.179,496862.695,1054.015,utm10
GCP4,5493145.6,496913.577,1054.764,utm10
GCP5,5493073.175,496918.882,1064.347,utm10
GCP6,5493104.627,496961.755,1063.715,utm10
GCP7,5493016.615,496963.923,1069.112,utm10
GCP8,5492985.84,497005.637,1070.568,utm10
GCP9,5492994.878,497050.718,1063.426,utm10
Hollyburn1,5471494.172,486094.426,984.321,utm10
Hollyburn2,5471471.895,486556.587,1152.321,utm10
Lake-20,5494017.254,496639.559,1039.314,utm10
Lake-21,5493269.754,496935.215,1039.778,utm10
Lake-22,5493267.086,496973.084,1043.073,utm10
Lake-23,5493281.706,496987.392,1045.022,utm10
PLOT1C_E1S,5494397.7809999995,496123.60549999995,1314.6405,utm10
PLOT1C_S1S,5487615.573,495496.48,1283.172,utm10
PLOT2C_E2O,5487101.789,496290.861,1149.353,utm10
PLOT2C_S2F,5494009.475666666,496630.17,1039.3863333333334,utm10
PLOT3C_S3F,5492429.19,496864.51,841.751,utm10
PLOT4C_E4F,5493218.89,496836.93,1060.942,utm10
PLOT5C_N5F,5493481.819,496686.058,1094.422,utm10
PLOT6C_S6O,5495058.071,495963.743,1594.004,utm10
PLOT7C_E7S,5494426.732,495919.469,1394.326,utm10
Ridge-10,5494493.585,496000.626,1351.664,utm10
Ridge-12,5494396.93,496124.401,1296.71,utm10
Ridge-13,5494396.957,496124.382,1260.763,utm10
Ridge-14,5494448.446,496358.644,1199.225,utm10
Ridge-15,5494356.641,496434.458,1168.504,utm10
Ridge-16,5494266.373,496474.923,1150.127,utm10
Ridge-17,5494166.043,496556.2,1112.717,utm10
Ridge-18,5494127.554,496615.759,1079.256,utm10
Ridge-2,5494273.647,495935.486,1442.011,utm10
Ridge-4,5494337.063,495950.14,1425.117,utm10
Ridge-5,5494379.108,495961.662,1410.969,utm10
Ridge-6_E,5494422.307,495921.309,1395.351,utm10
Ridge-7_S,5494424.677,495933.458,1391.539,utm10
Ridge-8_N,5494436.035,495916.401,1390.49,utm10
Ridge-9,5494477.637,495966.082,1362.303,utm10
Ridge10,5487533.757,495872.637,1215.757,utm10
Ridge11,5487477.827,495894.952,1224.615,utm10
Ridge12,5487461.347,495963.401,1232.815,utm10
Ridge13,5487413.944,496007.265,1229.92,utm10
Ridge14,5487408.512,496057.73,1218.866,utm10
Ridge15,5487342.286,496073.293,1208.029,utm10
Ridge16,5487294.021,496059.741,1200.218,utm10
Ridge17,5487281.992,496109.091,1191.084,utm10
Ridge18,5487237.544,496172.758,1178.83,utm10
Ridge19,5487217.189,496229.288,1168.662,utm10
Ridge20,5487143.296,496225.361,1162.408,utm10
Ridge3,5487637.735,495455.062,1290.439,utm10
Ridge4,5487638.398,495470.777,1288.86,utm10
Ridge5,5487581.155,495525.49,1269.585,utm10
Ridge6,5487588.431,495576.132,1261.88,utm10
Ridge7,5487546.882,495644.318,1256.188,utm10
Ridge8,5487553.622,495740.73,1229.28,utm10
Ridge9,5487553.948,495813.994,1209.272,utm10
Sensor-24,5493308.001,497006.105,1046.39,utm10
STATION,5491737.46825,496836.16475,1073.7755,utm10
TRANS1,5493231.196571428,496923.88914285717,1049.2444285714287,utm10
TRANS2,5493252.347285714,496850.83714285714,1052.726,utm10
TRANS3,5493088.46,496915.6916,1062.992,utm10
TRANS4,5493074.8484,496966.99940000003,1063.71,utm10
TRANS5,5492999.99,497012.283,1070.874,utm10
TRANS6,5493029.6502,497045.281,1058.2526,utm10
TRANS7,5493186.0518,496949.8028,1044.2975999999999,utm10
