station,utm_z,utm_e,utm_n,height,scale,combined,convergence
Bridge-1,UTM10,496414.871,5491036.653,529.090,0.99960016,0.99951729,0.0377
GCP1,UTM10,496997.882,5493313.309,1044.203,0.99960011,0.99943657,0.0316
GCP10,UTM10,497042.001,5493056.749,1051.256,0.99960011,0.99943547,0.0312
GCP11,UTM10,497003.050,5493101.353,1047.187,0.99960011,0.99943611,0.0316
GCP12,UTM10,496981.556,5493160.282,1053.125,0.99960011,0.99943518,0.0318
GCP2,UTM10,496922.109,5493248.349,1047.181,0.99960012,0.99943611,0.0324
GCP3,UTM10,496861.366,5493252.632,1053.741,0.99960012,0.99943509,0.0331
GCP4,UTM10,496912.248,5493146.053,1054.490,0.99960012,0.99943497,0.0325
GCP5,UTM10,496917.553,5493073.628,1064.073,0.99960012,0.99943347,0.0325
GCP6,UTM10,496960.426,5493105.080,1063.441,0.99960011,0.99943356,0.032
GCP7,UTM10,496962.594,5493017.068,1068.838,0.99960011,0.99943272,0.032
GCP8,UTM10,497004.308,5492986.293,1070.294,0.99960011,0.99943249,0.0316
GCP9,UTM10,497049.389,5492995.331,1063.152,0.99960011,0.99943360,0.0311
Hollyburn1,UTM10,486093.096,5471494.624,984.046,0.99960238,0.99944825,0.1455
Hollyburn2,UTM10,486555.257,5471472.347,1152.046,0.99960222,0.99942179,0.1407
Lake-20,UTM10,496638.230,5494017.707,1039.040,0.99960014,0.99943741,0.0354
Lake-21,UTM10,496933.886,5493270.207,1039.504,0.99960012,0.99943731,0.0323
Lake-22,UTM10,496971.755,5493267.539,1042.799,0.99960011,0.99943680,0.0319
Lake-23,UTM10,496986.063,5493282.159,1044.748,0.99960011,0.99943649,0.0318
PLOT1C_E1S,UTM10,496122.276,5494398.234,1314.367,0.99960018,0.99939435,0.0409
PLOT1C_S1S,UTM10,495495.151,5487616.026,1282.897,0.99960025,0.99939934,0.0474
PLOT2C_E2O,UTM10,496289.532,5487102.241,1149.078,0.99960017,0.99942021,0.039
PLOT2C_S2F,UTM10,496628.841,5494009.928,1039.112,0.99960014,0.99943740,0.0355
PLOT3C_S3F,UTM10,496863.181,5492429.643,841.476,0.99960012,0.99946833,0.033
PLOT4C_E4F,UTM10,496835.601,5493219.343,1060.668,0.99960012,0.99943401,0.0333
PLOT5C_N5F,UTM10,496684.729,5493482.272,1094.148,0.99960013,0.99942878,0.0349
PLOT6C_S6O,UTM10,495962.414,5495058.524,1593.730,0.99960020,0.99935062,0.0426
PLOT7C_E7S,UTM10,495918.140,5494427.185,1394.052,0.99960020,0.99938189,0.043
Ridge-10,UTM10,495999.297,5494494.038,1351.390,0.99960020,0.99938856,0.0422
Ridge-12,UTM10,496123.072,5494397.383,1296.436,0.99960018,0.99939715,0.0409
Ridge-13,UTM10,496123.053,5494397.410,1260.489,0.99960018,0.99940278,0.0409
Ridge-14,UTM10,496357.315,5494448.899,1198.951,0.99960016,0.99941240,0.0384
Ridge-15,UTM10,496433.129,5494357.094,1168.230,0.99960016,0.99941720,0.0376
Ridge-16,UTM10,496473.594,5494266.826,1149.853,0.99960015,0.99942007,0.0372
Ridge-17,UTM10,496554.871,5494166.496,1112.443,0.99960015,0.99942592,0.0363
Ridge-18,UTM10,496614.430,5494128.007,1078.982,0.99960014,0.99943116,0.0357
Ridge-2,UTM10,495934.157,5494274.100,1441.737,0.99960020,0.99937442,0.0429
Ridge-4,UTM10,495948.811,5494337.516,1424.843,0.99960020,0.99937706,0.0427
Ridge-5,UTM10,495960.333,5494379.561,1410.695,0.99960020,0.99937928,0.0426
